tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z,tBodyAcc-std-X,tBodyAcc-std-Y,tBodyAcc-std-Z
2.7957476e-001,-1.73E-02,-1.09E-01,-9.96E-01,-9.96E-01,-9.99E-01
2.7652699e-001,-1.68E-02,-1.08E-01,-9.97E-01,-9.97E-01,-9.95E-01
2.7812334e-001,-1.71E-02,-1.08E-01,-9.95E-01,-9.98E-01,-9.92E-01
2.7800654e-001,-1.78E-02,-1.09E-01,-9.94E-01,-9.95E-01,-9.95E-01
2.8020640e-001,-1.84E-02,-1.07E-01,-9.96E-01,-9.94E-01,-9.92E-01
2.8182774e-001,-1.86E-02,-1.05E-01,-9.96E-01,-9.92E-01,-9.90E-01
2.7672941e-001,-1.72E-02,-1.06E-01,-9.95E-01,-9.91E-01,-9.93E-01
2.7588359e-001,-1.62E-02,-1.09E-01,-9.96E-01,-9.96E-01,-9.94E-01
2.7783021e-001,-1.77E-02,-1.06E-01,-9.96E-01,-9.96E-01,-9.95E-01
2.7937115e-001,-1.76E-02,-1.08E-01,-9.95E-01,-9.96E-01,-9.94E-01
1.9016151e-002,-7.04E-03,-2.83E-02,-6.61E-01,-7.13E-01,-7.01E-01
3.4020850e-001,-3.65E-02,-1.06E-01,-9.59E-01,-9.08E-01,-9.85E-01
-1.66E-01,-1.19E-01,1.3303497e-001,-6.33E-01,-1.90E-01,-3.19E-01
-2.39E-01,-9.69E-02,1.4803461e-001,-6.37E-01,-1.28E-01,-2.59E-01
3.4696848e-001,6.9408647e-002,-2.01E-01,-8.04E-01,-7.42E-01,-6.05E-01
3.0383319e-001,1.0364820e-001,-2.45E-01,-7.56E-01,-6.43E-01,-6.96E-01
-3.61E-01,-2.68E-01,1.7689637e-001,-5.99E-01,5.3250573e-001,4.3240256e-003
-2.77E-01,-6.84E-01,3.4665772e-001,-5.96E-01,2.4682958e-002,-1.60E-01
2.5747650e-001,-4.14E-01,1.7374188e-002,-9.20E-01,7.5259481e-002,-6.31E-01
2.7683965e-001,-2.71E-02,-1.23E-01,-9.77E-01,-5.88E-01,-9.71E-01
2.6865095e-001,1.6430154e-002,-1.04E-01,-9.86E-01,-8.96E-01,-9.88E-01
2.8526329e-001,-8.89E-03,-1.04E-01,-9.95E-01,-9.80E-01,-9.95E-01
2.8347732e-001,-7.52E-03,-1.09E-01,-9.95E-01,-9.87E-01,-9.96E-01
2.7302712e-001,-1.02E-02,-1.11E-01,-9.93E-01,-9.90E-01,-9.95E-01
2.8202157e-001,-3.77E-02,-1.35E-01,-3.28E-01,-1.37E-01,-1.89E-01
2.5584075e-001,-6.46E-02,-9.52E-02,-2.29E-01,1.6506077e-002,-2.60E-01
2.5486723e-001,3.8147234e-003,-1.24E-01,-2.75E-01,1.3079871e-002,-2.84E-01
3.4337048e-001,-1.44E-02,-1.67E-01,-2.30E-01,1.7391077e-001,-2.13E-01
2.7623973e-001,-2.96E-02,-1.43E-01,-2.27E-01,1.6428792e-001,-1.23E-01
2.5546822e-001,2.1219063e-002,-4.89E-02,-2.25E-01,2.2312942e-002,-1.13E-01
3.2113983e-001,1.5817951e-003,-4.36E-02,-2.34E-01,3.4774517e-002,-1.62E-01
2.3466590e-001,-4.95E-02,-1.12E-01,-2.47E-01,5.5164926e-002,-2.09E-01
3.1263404e-001,-2.64E-02,-1.31E-01,-3.53E-01,-1.74E-02,-1.28E-01
2.7691540e-001,-3.55E-02,-8.06E-02,-2.63E-01,1.1127781e-001,-2.13E-01
2.0530739e-001,-8.51E-03,-1.20E-01,-2.61E-01,2.7917204e-002,-2.27E-01
3.0699599e-001,-1.38E-02,-1.80E-01,-2.39E-01,7.2865343e-002,-2.47E-01
2.8151325e-001,-4.08E-02,-1.35E-01,-2.01E-01,1.3235411e-001,-2.20E-01
3.0388542e-001,2.7680377e-003,-3.86E-02,-1.69E-01,1.9033573e-001,-1.40E-01
3.5419290e-001,-1.26E-02,-5.87E-02,-2.08E-01,2.3479071e-001,-1.59E-01
2.2229785e-001,-1.87E-02,-1.17E-01,-2.21E-01,1.6981657e-001,-2.12E-01
2.1448125e-001,9.9387454e-003,-1.23E-01,-2.06E-01,1.0600620e-001,-2.11E-01
3.2731657e-001,-2.23E-02,-1.49E-01,-2.49E-01,1.3322913e-001,-1.80E-01
3.4905910e-001,-2.20E-02,-1.50E-01,-3.03E-01,1.5260681e-001,-1.74E-01
2.6468173e-001,-8.59E-03,-1.03E-01,-3.63E-01,3.6867249e-002,-2.44E-01
2.8431748e-001,-2.72E-02,-2.12E-01,-1.83E-01,1.4107588e-001,-2.26E-01
2.2172674e-001,-2.44E-02,-7.51E-02,-1.12E-01,1.1113028e-001,-2.22E-01
2.9097148e-001,-2.78E-02,-4.30E-02,-1.39E-01,3.8038012e-002,-2.67E-01
2.6108077e-001,-1.56E-02,-1.03E-01,-1.71E-01,2.0123607e-001,-2.62E-01
2.5242505e-001,6.2773455e-003,-1.25E-01,-2.37E-01,2.2348838e-001,-2.29E-01
3.5878664e-001,-1.70E-02,-1.55E-01,-2.51E-01,2.7005499e-001,-1.85E-01
2.5693500e-001,-1.06E-02,-1.05E-01,-2.30E-01,1.8733455e-001,-1.64E-01
2.9855414e-001,7.9445569e-004,-4.07E-02,-1.98E-01,-4.64E-03,-1.85E-01
3.0804575e-001,-2.33E-02,-7.97E-02,-1.99E-01,1.3432199e-001,-1.77E-01
2.0356167e-001,-3.05E-02,-1.37E-01,-2.47E-01,2.9855783e-001,-2.06E-01
2.8056095e-001,-1.14E-02,-1.56E-01,-2.74E-01,2.5843788e-001,-2.26E-01
3.3216933e-001,-3.46E-02,-1.59E-01,-2.94E-01,1.8968054e-001,-2.25E-01
2.8703017e-001,-2.72E-02,-1.18E-01,-3.12E-01,1.2700096e-001,-2.52E-01
3.0159413e-001,-4.47E-02,-8.15E-02,-1.78E-01,2.4283356e-001,-1.45E-01
2.4608919e-001,-1.62E-02,-1.12E-01,-2.22E-01,6.7040367e-002,-3.02E-01
2.9272439e-001,-2.14E-03,-1.40E-01,-2.53E-01,4.1978126e-002,-2.75E-01
3.3156003e-001,-7.50E-03,-1.32E-01,-2.46E-01,1.0293816e-001,-2.33E-01
2.0201055e-001,-9.04E-03,-7.91E-02,-2.21E-01,1.2313624e-001,-2.22E-01
3.0363491e-001,-1.47E-02,-4.26E-02,-2.15E-01,1.2091731e-001,-2.19E-01
3.5919361e-001,-1.81E-02,-7.23E-02,-2.63E-01,5.7066065e-002,-2.48E-01
2.2442754e-001,-3.15E-02,-1.27E-01,-3.93E-01,-2.07E-02,-2.63E-01
2.3995826e-001,-9.71E-03,-1.22E-01,-3.71E-01,-7.20E-02,-3.02E-01
2.8972747e-001,1.5342720e-002,-1.17E-01,-3.69E-01,-8.33E-02,-2.63E-01
3.0830537e-001,-1.99E-02,-1.60E-01,-4.39E-01,3.3127826e-003,-2.09E-01
3.2746543e-001,-3.57E-02,-1.82E-01,-3.67E-01,3.4414774e-002,-1.94E-01
2.3841102e-001,-2.32E-02,-1.13E-01,-3.20E-01,2.7333313e-002,-1.82E-01
1.8019430e-001,-1.78E-02,-3.93E-02,-3.77E-01,2.3526725e-002,-2.47E-01
3.5845532e-001,1.7975385e-002,-8.42E-02,-1.72E-01,-1.88E-01,-4.00E-01
3.0171512e-001,-7.05E-03,-9.37E-02,-4.01E-02,-1.41E-01,-3.26E-01
2.8155172e-001,-1.61E-02,-1.40E-01,-9.47E-02,-7.35E-03,-3.47E-01
2.7395574e-001,-2.29E-02,-1.27E-01,-1.33E-01,1.3226521e-001,-3.36E-01
2.9995717e-001,1.4082123e-002,-8.23E-02,6.9268419e-002,5.7800324e-002,-2.35E-01
2.6537379e-001,-1.72E-02,-1.39E-01,1.2036221e-001,8.3343662e-002,-2.22E-01
2.7763311e-001,-3.73E-02,-1.00E-01,-2.18E-02,-3.21E-02,-1.97E-01
2.6688016e-001,-2.31E-03,-6.37E-02,-5.00E-02,-2.47E-01,-2.59E-01
2.1070047e-001,-5.97E-03,-1.10E-01,-6.42E-02,-2.02E-01,-3.28E-01
2.8521305e-001,-2.02E-02,-1.10E-02,1.2298877e-001,8.1945720e-002,4.9997153e-002
4.6994580e-001,-3.36E-02,-1.41E-01,1.1546276e-001,1.9113399e-002,-3.45E-02
2.3528441e-001,-1.46E-02,-2.08E-01,9.9089605e-002,3.0073470e-001,-2.06E-01
1.6691360e-001,-3.37E-02,-1.33E-01,5.2910086e-002,2.6572452e-001,-2.13E-01
4.4562097e-001,-1.19E-02,-1.51E-01,1.1820941e-001,-5.10E-02,-1.47E-01
2.3179921e-001,-7.52E-03,-5.58E-02,6.3689044e-002,-1.72E-02,-2.30E-01
2.8134949e-001,-7.10E-04,-8.70E-03,1.4664050e-001,-1.58E-01,-2.40E-01
3.6248249e-001,-3.55E-03,-1.81E-01,2.4954917e-001,-2.12E-01,-1.69E-01
4.3503687e-001,-6.59E-03,-8.29E-02,7.8451291e-002,-9.87E-02,-2.64E-01
3.5119884e-001,2.1866728e-002,-1.49E-01,7.6174685e-002,-1.00E-01,-2.98E-01
1.3046118e-001,-5.50E-02,-1.32E-01,-1.07E-01,1.0655765e-001,-2.28E-01
3.1277629e-001,-5.04E-02,-4.30E-02,2.6284824e-002,1.6827786e-001,-1.86E-01
4.2595606e-001,2.4560000e-002,-1.51E-01,9.9239639e-002,-3.82E-02,-2.72E-01
2.6749864e-001,-1.83E-02,-1.69E-01,-4.12E-02,-1.34E-01,-3.11E-01
1.5439416e-001,1.6045166e-003,-1.05E-02,-2.36E-02,-1.97E-01,-2.92E-01
2.0535149e-001,-3.81E-03,-3.26E-02,1.9304723e-002,-2.30E-01,-3.08E-01
1.8360372e-001,-7.66E-02,-4.70E-02,-3.68E-01,-9.92E-02,2.0546431e-002
2.7918273e-001,-3.70E-02,-1.34E-01,-3.59E-01,-1.24E-01,-1.03E-01
3.0116241e-001,-1.76E-03,-1.07E-01,-3.63E-01,1.2200422e-003,-1.12E-01
2.9341097e-001,-1.87E-02,-6.62E-02,-3.68E-01,9.5662930e-002,-1.93E-02
2.3030990e-001,2.1737117e-003,-4.31E-02,-3.35E-01,-2.04E-02,3.1209990e-002
1.5851651e-001,4.2561454e-003,-1.88E-02,-4.06E-01,-8.36E-02,-1.25E-02
2.1524532e-001,-3.26E-02,-1.19E-01,-4.07E-01,-6.89E-02,2.5753713e-002
2.7147742e-001,-3.07E-02,-1.56E-01,-3.42E-01,-1.53E-01,2.1435303e-002
1.4085877e-001,-6.83E-02,-7.21E-02,-2.34E-01,-7.94E-02,-3.37E-02
2.3145946e-001,-1.33E-02,-9.24E-02,-3.17E-01,-1.14E-01,-7.12E-02
2.9569289e-001,-1.73E-02,-9.99E-02,-3.57E-01,4.1165280e-002,-9.11E-02
3.4408292e-001,-1.97E-02,-1.42E-01,-3.61E-01,1.9695865e-002,-1.01E-01
3.3299252e-001,-3.03E-02,-1.14E-01,-4.28E-01,-1.21E-01,-9.01E-02
3.1672153e-001,-2.39E-02,-1.11E-01,-4.21E-01,-5.50E-03,-1.79E-02
2.7425493e-001,-2.90E-02,-1.56E-01,-3.96E-01,-9.68E-02,-3.82E-02
2.6034404e-001,-3.37E-02,-1.27E-01,-4.34E-01,-2.38E-01,-7.32E-02
2.7771111e-001,-8.93E-03,-8.12E-02,-4.58E-01,-2.10E-01,7.2308160e-003
2.2622757e-001,-5.37E-02,-1.13E-01,-3.51E-01,-9.30E-03,7.7882978e-003
2.5960382e-001,-1.81E-02,-1.14E-01,-3.52E-01,4.8864663e-002,-7.81E-02
3.4402821e-001,-3.59E-02,-9.42E-02,-3.97E-01,1.6760570e-001,-4.53E-02
3.7052032e-001,-8.88E-03,-1.52E-01,-4.43E-01,1.2090121e-001,5.7691449e-002
2.7321360e-001,-1.25E-02,-1.28E-01,-4.46E-01,9.5902307e-003,-3.13E-02
2.3124563e-001,-7.22E-03,-3.50E-02,-4.71E-01,1.1840328e-002,-5.55E-02
2.5025528e-001,7.7234474e-003,-5.85E-02,-3.88E-01,-2.94E-02,5.4298832e-002
2.3033751e-001,-2.18E-02,-1.19E-01,-3.61E-01,-1.48E-01,-2.26E-02
2.2969556e-001,-5.22E-02,-1.12E-01,-3.44E-01,-1.70E-01,-5.16E-02
2.6076161e-001,-3.54E-02,-1.37E-01,-9.74E-01,-9.29E-01,-8.75E-01
2.8981703e-001,-1.08E-02,-1.20E-01,-9.95E-01,-9.74E-01,-9.18E-01
2.8451133e-001,-8.54E-03,-9.00E-02,-9.94E-01,-9.79E-01,-9.77E-01
2.8527440e-001,-4.51E-03,-1.14E-01,-9.94E-01,-9.57E-01,-9.77E-01
2.7239664e-001,-2.37E-02,-1.13E-01,-9.90E-01,-9.16E-01,-9.77E-01
2.6580577e-001,-3.28E-02,-1.17E-01,-9.93E-01,-9.51E-01,-9.76E-01
2.7842600e-001,-1.71E-02,-1.25E-01,-9.94E-01,-9.87E-01,-9.82E-01
2.7942505e-001,-1.49E-02,-1.10E-01,-9.97E-01,-9.95E-01,-9.84E-01
2.7526076e-001,-1.61E-02,-1.03E-01,-9.96E-01,-9.79E-01,-9.92E-01
2.7687455e-001,-1.86E-02,-1.13E-01,-9.96E-01,-9.77E-01,-9.87E-01
2.7924170e-001,-1.73E-02,-1.14E-01,-9.98E-01,-9.89E-01,-9.86E-01
2.7884783e-001,-1.53E-02,-1.07E-01,-9.98E-01,-9.84E-01,-9.92E-01
2.7368218e-001,-2.00E-02,-1.08E-01,-9.97E-01,-9.77E-01,-9.93E-01
2.7394901e-001,-2.18E-02,-1.17E-01,-9.96E-01,-9.85E-01,-9.87E-01
3.2236308e-001,3.4225504e-002,-5.74E-02,-9.70E-01,-8.00E-01,-8.96E-01
2.7452620e-001,-2.51E-02,-1.23E-01,-9.94E-01,-9.64E-01,-9.59E-01
2.7380646e-001,-1.97E-02,-1.20E-01,-9.98E-01,-9.77E-01,-9.82E-01
2.7664268e-001,-1.68E-02,-9.94E-02,-9.98E-01,-9.87E-01,-9.96E-01
2.7436388e-001,-2.34E-02,-1.10E-01,-9.97E-01,-9.89E-01,-9.81E-01
2.7475366e-001,-2.01E-02,-1.21E-01,-9.98E-01,-9.80E-01,-9.95E-01
2.7872042e-001,-1.45E-02,-1.15E-01,-9.98E-01,-9.86E-01,-9.98E-01
2.7938002e-001,-1.54E-02,-1.11E-01,-9.98E-01,-9.92E-01,-9.99E-01
2.7734354e-001,-1.57E-02,-1.08E-01,-9.98E-01,-9.93E-01,-9.99E-01
2.7796276e-001,-1.50E-02,-1.06E-01,-9.97E-01,-9.90E-01,-9.93E-01
2.7997806e-001,-1.55E-02,-1.06E-01,-9.98E-01,-9.91E-01,-9.92E-01
2.7970111e-001,-1.58E-02,-1.09E-01,-9.99E-01,-9.94E-01,-9.92E-01
2.6297624e-001,-2.87E-04,-1.76E-01,-9.50E-01,-6.15E-01,-8.98E-01
2.9811757e-001,-3.56E-02,-1.16E-01,-9.90E-01,-9.08E-01,-9.46E-01
2.7727452e-001,-1.17E-02,-1.03E-01,-9.97E-01,-9.84E-01,-9.84E-01
2.7866687e-001,-1.80E-02,-1.10E-01,-9.98E-01,-9.91E-01,-9.89E-01
2.7873199e-001,-1.81E-02,-1.08E-01,-9.97E-01,-9.92E-01,-9.91E-01
2.7559191e-001,-1.40E-02,-1.08E-01,-9.98E-01,-9.94E-01,-9.94E-01
2.7832678e-001,-1.76E-02,-1.10E-01,-9.97E-01,-9.90E-01,-9.95E-01
2.7839415e-001,-1.84E-02,-1.12E-01,-9.97E-01,-9.92E-01,-9.99E-01
2.7750957e-001,-1.63E-02,-1.10E-01,-9.97E-01,-9.94E-01,-9.97E-01
2.7798405e-001,-1.79E-02,-1.07E-01,-9.96E-01,-9.93E-01,-9.96E-01
2.7564442e-001,-1.55E-02,-1.08E-01,-9.97E-01,-9.91E-01,-9.96E-01
3.9365355e-001,-2.36E-02,-1.26E-01,-9.62E-01,-9.45E-01,-9.01E-01
3.1932383e-001,-2.49E-02,-9.98E-02,-9.67E-01,-9.74E-01,-9.76E-01
2.7903686e-001,-1.67E-02,-1.09E-01,-9.95E-01,-9.95E-01,-9.95E-01
2.8166540e-001,-1.76E-02,-1.11E-01,-9.94E-01,-9.94E-01,-9.95E-01
2.7714164e-001,-1.81E-02,-1.10E-01,-9.95E-01,-9.95E-01,-9.92E-01
2.7890115e-001,-1.78E-02,-1.07E-01,-9.96E-01,-9.97E-01,-9.94E-01
2.7972834e-001,-1.60E-02,-1.07E-01,-9.95E-01,-9.97E-01,-9.94E-01
2.7603949e-001,-1.74E-02,-1.09E-01,-9.96E-01,-9.92E-01,-9.93E-01
2.7831632e-001,-1.80E-02,-1.08E-01,-9.96E-01,-9.92E-01,-9.96E-01
2.7575263e-001,-1.68E-02,-1.06E-01,-9.95E-01,-9.94E-01,-9.99E-01
2.7885089e-001,-1.65E-02,-1.09E-01,-9.95E-01,-9.95E-01,-9.96E-01
2.8202074e-001,-1.76E-02,-1.08E-01,-9.95E-01,-9.97E-01,-9.95E-01
3.1076307e-001,1.8053586e-002,-2.06E-01,-9.50E-01,-8.45E-01,-7.20E-01
2.6453910e-001,-1.97E-02,-7.19E-02,-9.94E-01,-9.50E-01,-9.67E-01
2.6963511e-001,-8.93E-03,-8.94E-02,-9.97E-01,-9.67E-01,-9.86E-01
2.7259354e-001,-5.76E-03,-1.09E-01,-9.98E-01,-9.86E-01,-9.90E-01
2.7682826e-001,-1.61E-02,-1.10E-01,-9.97E-01,-9.87E-01,-9.88E-01
2.7615990e-001,-1.33E-02,-1.06E-01,-9.96E-01,-9.80E-01,-9.93E-01
2.7575308e-001,-1.03E-02,-1.10E-01,-9.96E-01,-9.83E-01,-9.96E-01
2.7790646e-001,-1.71E-02,-1.10E-01,-9.98E-01,-9.87E-01,-9.96E-01
2.7554943e-001,-1.41E-02,-1.09E-01,-9.98E-01,-9.85E-01,-9.96E-01
2.7778196e-001,-1.59E-02,-1.11E-01,-9.97E-01,-9.82E-01,-9.97E-01
2.7725766e-001,-1.42E-02,-1.12E-01,-9.97E-01,-9.78E-01,-9.97E-01
2.7426151e-001,-1.23E-02,-1.09E-01,-9.94E-01,-9.77E-01,-9.89E-01
-6.62E-02,7.9229050e-002,-1.00E+00,-6.84E-01,-5.39E-01,-8.51E-02
-8.33E-02,1.0297707e-002,-5.16E-01,-7.38E-01,-8.78E-01,5.7095425e-002
2.5911510e-001,-1.80E-02,-1.20E-01,-9.57E-01,-9.50E-01,-8.25E-01
2.9230775e-001,-6.93E-03,-2.93E-02,-9.60E-01,-9.24E-01,-6.52E-01
3.2588645e-001,8.1689933e-004,1.6658077e-002,-9.82E-01,-9.47E-01,-7.36E-01
3.0005315e-001,-1.81E-02,-1.08E-01,-9.82E-01,-9.83E-01,-9.36E-01
2.8809417e-001,-2.28E-02,-1.35E-01,-9.86E-01,-9.93E-01,-9.83E-01
2.7676588e-001,-1.81E-02,-1.20E-01,-9.91E-01,-9.85E-01,-9.53E-01
2.4389788e-001,-2.76E-02,-1.82E-01,-9.67E-01,-9.41E-01,-7.67E-01
1.8047854e-001,-4.25E-02,-2.81E-01,-9.57E-01,-9.40E-01,-7.63E-01
2.0896421e-001,-2.27E-02,-1.66E-01,-9.54E-01,-9.31E-01,-7.26E-01
2.5012584e-001,-2.27E-02,-6.48E-02,-4.44E-01,-2.24E-03,-2.96E-01
2.7324282e-001,6.0649186e-003,-8.83E-02,-3.94E-01,4.3959010e-002,-2.81E-01
3.4625374e-001,-1.89E-02,-7.13E-02,-3.52E-01,-4.83E-03,-3.31E-01
3.2599307e-001,-1.66E-02,-5.51E-02,-3.09E-01,7.0430284e-002,-3.60E-01
2.7052000e-001,-1.63E-02,-1.03E-01,-3.39E-01,9.2647463e-002,-3.20E-01
2.2667958e-001,-3.61E-02,-1.39E-01,-3.76E-01,8.4023999e-002,-3.01E-01
2.3948442e-001,-1.71E-02,-1.23E-01,-3.51E-01,1.6141265e-001,-3.01E-01
2.9542323e-001,3.0962138e-003,-1.28E-01,-4.03E-01,9.2371244e-002,-3.34E-01
2.8051914e-001,-1.88E-02,-2.19E-01,-3.05E-01,1.3337442e-002,-3.10E-01
3.4708066e-001,-3.70E-02,-1.31E-01,-2.67E-01,1.9113155e-001,-2.93E-01
2.8375642e-001,-2.56E-02,-1.22E-01,-3.10E-01,1.8795735e-001,-3.15E-01
2.3285893e-001,6.0932862e-003,-1.10E-01,-3.36E-01,9.5717473e-003,-3.32E-01
2.7194632e-001,3.8772773e-003,-5.37E-02,-3.15E-01,7.4906345e-002,-3.35E-01
3.4859482e-001,-9.29E-03,-4.84E-02,-2.96E-01,1.8386365e-001,-3.41E-01
3.2551283e-001,-3.04E-02,-9.04E-02,-3.24E-01,1.8394759e-001,-3.33E-01
2.1453672e-001,-3.28E-02,-1.24E-01,-3.14E-01,1.6878457e-001,-3.15E-01
2.2009445e-001,-2.15E-02,-1.51E-01,-2.82E-01,1.9933832e-001,-3.11E-01
2.8384717e-001,-3.05E-03,-1.28E-01,-3.31E-01,1.7223651e-001,-3.26E-01
2.7305549e-001,-1.82E-02,-1.28E-01,-3.36E-01,1.0671783e-001,-3.20E-01
2.9286452e-001,-4.03E-02,-1.51E-01,-2.50E-01,1.8840369e-001,-2.69E-01
2.8562929e-001,-3.30E-02,-1.21E-01,-2.33E-01,1.7256407e-001,-2.13E-01
1.5618659e-001,-4.96E-02,-1.13E-01,-2.97E-01,1.7556848e-001,-2.54E-01
2.9644415e-001,1.4086002e-002,-1.03E-02,-3.34E-01,8.4803856e-002,-2.64E-01
3.9824941e-001,2.7317684e-002,-6.30E-02,-2.86E-01,1.6232262e-001,-2.11E-01
3.2858963e-001,-2.33E-02,-8.18E-02,-2.69E-01,2.6706359e-001,-2.44E-01
2.4003888e-001,-1.74E-02,-8.59E-02,-2.72E-01,1.6648261e-001,-3.05E-01
2.7845960e-001,-2.34E-02,-1.30E-01,-2.77E-01,1.2280051e-001,-3.14E-01
2.6682128e-001,-1.86E-02,-1.30E-01,-3.32E-01,1.8823401e-001,-3.29E-01
2.8656754e-001,2.0619282e-002,-9.25E-02,-3.58E-01,1.8479877e-001,-3.60E-01
3.0583985e-001,-2.19E-03,-1.25E-01,-3.09E-01,1.9143432e-001,-3.18E-01
3.1035963e-001,-5.46E-02,-1.39E-01,-2.99E-01,1.3141489e-001,-3.11E-01
