,tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z
1659,0.2723729,-0.0146,-0.1
1660,0.2765139,-0.0161,-0.106
1661,0.27478772,-0.0155,-0.106
1662,0.26686195,-0.0128,-0.0993
1663,0.27605346,-0.0165,-0.108
1664,0.27622107,-0.0154,-0.11
1665,0.27482346,-0.0137,-0.101
1666,0.27884778,-0.0165,-0.109
1667,0.37567475,-0.0152,-0.159
1668,0.27151668,-0.00977,-0.114
1669,0.27320376,-0.0195,-0.103
1670,0.28335524,-0.0168,-0.111
1671,0.27442965,-0.0171,-0.105
1672,0.28030977,-0.0181,-0.106
1673,0.28286687,-0.0186,-0.11
1674,0.27832067,-0.0187,-0.108
1675,0.27582023,-0.0158,-0.107
1676,0.2745868,-0.0165,-0.106
1677,0.27829993,-0.0166,-0.109
1678,0.27874303,-0.0169,-0.107
1679,0.27841184,-0.0168,-0.11
1680,0.37534297,-0.00583,-0.148
1681,0.26486367,-0.0147,-0.107
1682,0.26828504,-0.0209,-0.0984
1683,0.27775353,-0.0164,-0.111
1684,0.27885312,-0.0147,-0.115
1685,0.27707568,-0.018,-0.104
1686,0.28364238,-0.0181,-0.107
1687,0.2843595,-0.0175,-0.114
1688,0.27955544,-0.0178,-0.11
1689,0.27804872,-0.0165,-0.108
1690,0.2760286,-0.0171,-0.106
1691,0.27723598,-0.0162,-0.108
1692,0.20827927,-0.0448,-0.0665
1693,0.3346861,-0.0328,-0.0606
1694,0.2882233,-0.0592,-0.0722
1695,0.20109646,-0.00264,-0.115
1696,0.28471327,0.014879935,-0.145
1697,0.34013107,-0.00537,-0.14
1698,0.19601078,-0.00969,-0.089
1699,0.30027428,-0.0437,-0.0708
1700,0.32572657,-0.0376,-0.105
1701,0.19721667,0.0064834044,-0.136
1702,0.3212159,0.0065371892,-0.137
1703,0.34229985,-0.00465,-0.138
1704,0.21910769,-0.0197,-0.118
1705,0.33036926,-0.09,-0.164
1706,0.21541604,-0.028,-0.128
1707,0.21798578,-0.014,0.006194868
1708,0.32299685,-0.0404,-0.0248
1709,0.23212343,-0.00193,-0.161
1710,0.31957188,-0.000583,-0.166
1711,0.33673188,-0.00851,-0.108
1712,0.20622164,-0.00244,-0.0713
1713,0.25525817,-0.0515,-0.0838
1714,0.28845632,-0.0453,-0.115
1715,0.38661885,0.07148848,-0.0781
1716,0.3120884,-0.0423,-0.0684
1717,0.26292,0.006515991,-0.0941
1718,0.28929776,-0.0562,-0.162
1719,0.35208642,-0.0108,-0.166
1720,0.24512346,-0.011,-0.17
1721,0.18274179,-0.0391,-0.118
1722,0.35909158,-0.0106,-0.0292
1723,0.3769876,-0.025,-0.156
1724,0.2639682,-0.00261,-0.227
1725,0.2566357,-0.0329,-0.0909
1726,0.24549802,-0.0379,-0.103
1727,0.2619653,-0.00896,-0.14
1728,0.34828457,-0.0158,-0.0193
1729,0.3201558,-0.0237,-0.0637
1730,0.27813935,-0.0265,-0.205
1731,0.36207914,-0.0395,-0.0789
1732,0.22783071,-0.0285,-0.0673
1733,0.1660384,0.016284384,-0.149
1734,0.21284468,-0.00185,-0.0419
1735,0.45557132,-0.0634,-0.0642
1736,0.1339655,-0.062,-0.0923
1737,0.2615432,-0.0955,-0.109
1738,0.24060537,-0.00873,-0.106
1739,0.3414181,0.03172312,-0.118
1740,0.4560942,-0.022,-0.134
1741,0.15364839,-0.0288,-0.108
1742,0.15751906,-0.0406,-0.0795
1743,0.14474072,-0.0902,-0.149
1744,0.18423629,-0.0295,-0.201
1745,0.47233233,0.042787272,-0.137
1746,0.38623625,-0.0296,-0.129
1747,0.13964611,-0.0213,-0.0827
1748,0.23156992,-0.0353,-0.0375
1749,0.21039376,-0.0556,-0.0822
1750,0.18039614,-0.0907,-0.0718
1751,0.13238433,-0.00801,-0.188
1752,0.38172773,0.035805423,-0.0775
1753,0.4428637,-0.0613,-0.127
1754,0.16278093,-0.0317,-0.146
1755,0.24088418,0.0015752253,-0.0723
1756,0.35359955,-0.0843,-0.0773
1757,0.28343982,0.025317185,0.095227875
1758,0.2568462,-0.046,-0.177
1759,0.28176108,-0.0181,-0.138
1760,0.27718663,-0.0227,-0.118
1761,0.27584577,-0.018,-0.1
1762,0.27726427,-0.0154,-0.103
1763,0.27986792,-0.0146,-0.105
1764,0.27694494,-0.0165,-0.107
1765,0.27621365,-0.0216,-0.126
1766,0.2766566,-0.0197,-0.12
1767,0.2778038,-0.0144,-0.0982
1768,0.2793114,-0.0154,-0.108
1769,0.27690193,-0.0157,-0.108
1770,0.27612397,-0.0176,-0.107
1771,0.27803496,-0.0175,-0.107
1772,0.2766658,-0.0159,-0.104
1773,0.24527246,-0.0148,-0.51
1774,0.346599,0.036388848,0.004174315
1775,0.287995,-0.025,-0.0917
1776,0.28474137,-0.0172,-0.098
1777,0.28008026,-0.0155,-0.0979
1778,0.27479988,-0.0186,-0.112
1779,0.28156462,-0.0158,-0.0986
1780,0.2834253,-0.0162,-0.0971
1781,0.2858932,-0.017,-0.094
1782,0.29745272,-0.0102,-0.059
1783,0.27732182,-0.0226,-0.106
1784,0.2615788,-0.0293,-0.147
1785,0.27756882,-0.0171,-0.109
1786,0.28063962,-0.0155,-0.102
1787,0.27648258,-0.0167,-0.107
1788,0.2778773,-0.0173,-0.11
1789,0.1299899,0.10483888,0.06872937
1790,0.2792529,-0.0398,-0.155
1791,0.27746418,-0.014,-0.0962
1792,0.27383244,-0.0141,-0.108
1793,0.27350894,-0.0177,-0.107
1794,0.28426498,-0.0188,-0.112
1795,0.28029773,-0.0175,-0.109
1796,0.27209204,-0.0166,-0.103
1797,0.27373046,-0.0158,-0.105
1798,0.27255663,-0.0155,-0.104
1799,0.2802986,-0.0187,-0.112
1800,0.16655551,0.04300518,-0.0457
1801,0.29228398,-0.00212,-0.122
1802,0.28229275,-0.0228,-0.0963
1803,0.26790345,-0.0156,-0.0845
1804,0.27649155,-0.0114,-0.111
1805,0.275589,-0.0107,-0.108
1806,0.2760852,-0.0135,-0.115
1807,0.2784198,-0.0132,-0.105
1808,0.27619895,-0.0141,-0.0932
1809,0.2745312,-0.0146,-0.0957
1810,0.26420227,-0.00779,-0.0778
1811,0.25226432,-0.00867,-0.058
1812,0.27082583,-0.0133,-0.0754
1813,-0.421,-0.108,0.14361353
1814,0.31565207,0.00016986224,-0.138
1815,0.26665366,0.0041336743,-0.113
1816,0.26511616,0.011963731,-0.123
1817,0.3000749,-0.0134,-0.114
1818,0.36528713,-0.0117,-0.117
1819,0.26511028,-0.0151,-0.109
1820,0.1984492,-0.0261,-0.0967
1821,0.28410205,-0.0251,-0.107
1822,0.24199203,-0.0337,-0.0951
1823,0.23513076,-0.0326,-0.0952
1824,0.26253474,-0.0255,-0.103
1825,0.26764217,-0.0219,-0.106
1826,-0.0213,-0.159,0.08299952
1827,0.486838,0.036752287,-0.18
1828,0.24183103,-0.0414,-0.0815
1829,0.19621687,-0.0451,-0.0898
1830,0.2317243,-0.023,-0.107
1831,0.2202614,-0.0237,-0.104
1832,0.2611246,-0.0222,-0.107
1833,0.26846403,-0.0225,-0.106
1834,0.30947247,-0.0112,-0.111
1835,0.2541938,-0.0204,-0.104
1836,0.27566952,-0.0193,-0.105
1837,0.2775661,-0.0198,-0.107
1838,0.2754582,-0.0194,-0.11
1839,0.27694628,-0.0174,-0.111
1840,0.2871698,-0.0162,-0.108
1841,0.2925287,-0.0151,-0.11
1842,0.23920812,0.043559734,-0.143
1843,0.31038645,0.010790759,-0.146
1844,0.31267747,-0.0582,-0.086
1845,0.26530725,-0.0595,-0.0726
1846,0.25326213,0.025633214,-0.114
1847,0.31484714,0.049366478,-0.149
1848,0.250448,-0.0255,-0.102
1849,0.29298872,-0.0809,-0.0852
1850,0.245335,-0.0121,-0.1
1851,0.29918984,0.014831296,-0.136
1852,0.25652444,-0.0174,-0.127
1853,0.21123172,-0.0124,-0.0791
1854,0.20269282,-0.0714,-0.12
1855,0.26741454,-0.0529,-0.084
1856,0.29099098,-0.0668,-0.119
1857,0.25965092,0.011959975,-0.101
1858,0.34688726,0.033245526,-0.144
1859,0.18340929,-0.0222,-0.114
1860,0.28545356,-0.0774,-0.11
1861,0.2802897,-0.0315,-0.0899
1862,0.2535217,0.04911258,-0.0677
1863,0.30459946,0.0060922294,-0.144
1864,0.23221825,-0.0418,-0.105
1865,0.35567677,-0.0671,-0.125
1866,0.3855029,0.0025941383,-0.035
1867,0.19831242,0.0027531693,-0.135
1868,0.1781084,-0.0477,-0.166
1869,0.34936345,-0.00746,-0.111
1870,0.28833935,-0.0286,-0.0871
1871,0.29509553,-0.0398,-0.122
1872,0.3525819,-0.0493,-0.0733
1873,0.22019902,-0.0461,-0.153
1874,0.29228267,0.009887,-0.136
1875,0.24040236,0.0063608075,-0.121
1876,0.21694826,-0.0639,-0.0574
1877,0.37317413,-0.00335,-0.0476
1878,0.36179617,-0.0246,-0.102
1879,0.19184361,0.004727394,-0.168
1880,0.20397463,-0.0138,-0.116
1881,0.28263697,-0.0316,-0.113
1882,0.25687525,-0.0014,-0.102
1883,0.30561018,-0.0167,-0.03
1884,0.24123973,-0.115,-0.0299
1885,0.12515895,-0.0969,-0.153
1886,0.29589236,0.006189468,-0.0668
1887,0.38570532,0.034228414,-0.17
1888,0.30700514,-0.0117,-0.2
1889,0.19819121,0.005399148,-0.0441
1890,0.24277674,-0.044,-0.0834
1891,0.31189883,-0.099,-0.115
1892,0.080398515,-0.0584,-0.164
1893,0.2689408,0.042153776,-0.18
1894,0.41749763,-0.012,-0.049
1895,0.25863904,-0.0779,-0.0807
1896,0.21409844,-0.0374,-0.142
1897,0.33152917,0.053118117,-0.188
1898,0.13336352,0.020698164,-0.251
1899,0.28574532,0.010125471,-0.134
1900,0.24413344,-0.0359,-0.0185
1901,0.320504,-0.0963,-0.0651
1902,0.19870517,-0.0203,-0.124
1903,0.3440771,0.058712915,-0.138
1904,0.2730386,-0.0338,-0.103
1905,0.27267238,-0.0144,-0.105
1906,0.27973944,-0.015,-0.105
1907,0.27794936,-0.01,-0.101
1908,0.2743814,-0.014,-0.101
1909,0.27149144,-0.0312,-0.104
1910,0.28040728,-0.0176,-0.114
1911,0.28545797,-0.00687,-0.117
1912,0.2762941,-0.0152,-0.107
1913,0.27413574,-0.0231,-0.105
1914,0.2772944,-0.0282,-0.114
1915,0.27178994,-0.0442,-0.118
1916,0.28274277,-0.0138,-0.118
1917,0.2774797,-0.0182,-0.109
1918,0.27466685,-0.0182,-0.106
1919,0.27922532,-0.0151,-0.112
1920,0.2805037,-0.0148,-0.112
1921,0.27694392,-0.0231,-0.11
1922,0.2767587,-0.0247,-0.109
1923,0.27610087,-0.0109,-0.103
1924,0.27654043,-0.0141,-0.102
1925,0.22345535,0.09702681,-0.176
1926,0.2770158,-0.0516,-0.104
1927,0.27858335,-0.00978,-0.103
1928,0.27772263,-0.0159,-0.115
1929,0.27677432,-0.0181,-0.115
1930,0.27560174,-0.0144,-0.107
1931,0.2776757,-0.0177,-0.104
1932,0.28023702,-0.019,-0.107
1933,0.27793726,-0.018,-0.111
1934,0.27763742,-0.0173,-0.106
1935,0.2803621,-0.0171,-0.108
1936,0.2729896,-0.0132,-0.11
1937,0.26478934,-0.00703,-0.112
1938,0.26611936,-0.0078,-0.104
1939,0.32285702,-0.096,-0.235
1940,0.27989364,0.023982096,-0.12
1941,0.27948096,-0.0129,-0.11
1942,0.27587587,-0.0216,-0.106
1943,0.27963427,-0.0152,-0.11
1944,0.2757452,-0.0126,-0.106
1945,0.27556482,-0.015,-0.108
1946,0.2799703,-0.0173,-0.109
1947,0.27676806,-0.0173,-0.107
1948,0.27768895,-0.017,-0.109
1949,0.27999493,-0.0186,-0.11
1950,0.27867618,-0.0143,-0.11
1951,0.3632003,-0.0358,-0.152
1952,0.2973821,-0.0146,-0.0925
1953,0.2598168,-0.0144,-0.115
1954,0.2775705,-0.0174,-0.11
1955,0.2739346,-0.016,-0.107
1956,0.26562294,-0.0167,-0.104
1957,0.27400357,-0.0172,-0.105
1958,0.28131324,-0.0166,-0.11
1959,0.27743572,-0.0174,-0.11
1960,0.2777001,-0.0168,-0.109
1961,0.27931195,-0.0166,-0.11
1962,0.27585012,-0.0185,-0.109
1963,0.27610844,-0.0175,-0.108
1964,0.27930704,-0.0165,-0.108
1965,0.3512585,-0.0329,-0.0915
1966,0.2656438,-0.0128,-0.101
1967,0.27113193,-0.0165,-0.109
1968,0.27873647,-0.0173,-0.105
1969,0.27624178,-0.0181,-0.108
1970,0.2775117,-0.018,-0.111
1971,0.27746347,-0.0171,-0.109
1972,0.27609497,-0.0157,-0.108
1973,0.27523103,-0.0166,-0.106
1974,0.2772643,-0.0178,-0.108
1975,0.27825508,-0.0172,-0.112
1976,0.27881017,-0.0167,-0.11
1977,0.27830932,-0.0165,-0.106
1978,0.27548003,-0.0172,-0.109
1979,0.27678418,-0.0169,-0.11
1980,0.2753491,-0.0137,-0.11
1981,0.1546883,-0.032,-0.0523
1982,0.25019455,-0.00361,-0.0904
1983,0.34713638,-0.000788,-0.0767
1984,0.28502283,-0.0223,-0.0747
1985,0.2474701,-0.0473,-0.145
1986,0.2714127,0.01099052,-0.156
1987,0.27157798,0.031861246,-0.108
1988,0.28757125,-0.015,-0.114
1989,0.3237327,-0.0413,-0.126
1990,0.3159859,-0.0394,-0.107
1991,0.28071198,-0.00795,-0.0965
1992,0.25926685,-0.0313,-0.117
1993,0.28107446,-0.0429,-0.108
1994,0.3080571,-0.0176,-0.117
1995,0.23986556,-0.0168,-0.128
1996,0.23452415,-0.011,-0.0997
1997,0.21220227,-0.00961,-0.0581
1998,0.2739244,0.016351417,-0.082
1999,0.35935047,-0.0231,-0.0759
2000,0.34163183,-0.0296,-0.0989
2001,0.2583059,-0.0163,-0.125
2002,0.24352431,-0.034,-0.118
2003,0.25130665,-0.018,-0.11
2004,0.25792974,-0.00935,-0.128
2005,0.27389038,-0.014,-0.13
2006,0.32925132,-0.0061,-0.0989
2007,0.2526525,-0.0376,-0.102
2008,0.22259656,-0.025,-0.0975
2009,0.23758535,-0.0091,-0.0957
2010,0.42945138,0.0032917755,-0.118
2011,0.28456634,0.03997957,-0.213
2012,0.16198735,-0.018,-0.185
2013,0.29762226,-0.0238,-0.0783
2014,0.4293816,-0.0481,-0.0726
2015,0.16490726,-0.0431,-0.0873
2016,0.29373,0.006519584,-0.087
2017,0.4281471,0.00011717729,-0.0984
2018,0.34897602,0.008518898,-0.171
2019,0.23169683,-0.0356,-0.138
2020,0.3621821,-0.0447,-0.0506
2021,0.15716985,-0.0267,-0.0507
2022,0.32016447,-0.0286,-0.136
2023,0.35021004,0.048729092,-0.142
2024,0.20074204,0.015820023,-0.0234
2025,0.44696364,-0.0158,-0.118
2026,0.37424412,-0.0379,-0.18
2027,0.12025391,-0.0369,-0.128
2028,0.34609482,-0.0572,-0.0854
2029,0.26544228,-0.0245,-0.0852
2030,0.22330017,0.026199546,-0.0802
2031,0.43417147,-0.0623,-0.214
2032,0.22911127,-0.133,-0.206
2033,0.15890498,-0.0216,-0.123
2034,0.26987007,-0.00398,-0.083
2035,0.29135522,-0.00758,-0.0888
2036,0.2618649,-0.0308,-0.0887
2037,0.26284942,-0.0274,-0.0954
2038,0.31957278,-0.00834,-0.0817
2039,0.32825783,-0.0311,-0.1
2040,0.19898891,-0.101,-0.134
2041,0.31086725,-0.0205,-0.0602
2042,0.30873087,-0.0347,-0.0886
2043,0.27328187,-0.0196,-0.0985
2044,0.31047314,-0.0103,-0.113
2045,0.22850493,-0.0142,-0.173
2046,0.24556653,-0.0229,-0.112
2047,0.3224444,-0.0364,-0.0734
2048,0.22948955,-0.00367,-0.111
2049,0.170082,-0.115,-0.18
2050,0.20844568,-0.00216,-0.0752
2051,0.28831324,-0.00727,-0.0566
2052,0.37263876,-0.0127,-0.1
2053,0.3290439,-0.0385,-0.0859
2054,0.23836946,-0.0134,-0.121
2055,0.26747254,0.010115164,-0.0952
2056,0.27577677,-0.0456,-0.081
2057,0.26432985,-0.0221,-0.133
2058,0.2807237,-0.0188,-0.108
2059,0.27715406,-0.0106,-0.106
2060,0.28183717,-0.00858,-0.113
2061,0.2783545,-0.02,-0.104
2062,0.2775017,-0.0172,-0.107
2063,0.2769725,-0.0106,-0.11
2064,0.275962,-0.014,-0.105
2065,0.2787952,-0.0199,-0.109
2066,0.27823853,-0.0171,-0.11
2067,0.27870932,-0.0145,-0.109
2068,0.27729094,-0.0172,-0.105
2069,0.2748853,-0.019,-0.106
2070,0.27878255,-0.0174,-0.111
2071,0.27933455,-0.0153,-0.109
2072,0.2948952,0.019024346,-0.103
2073,0.26953873,-0.0367,-0.121
2074,0.27840853,-0.0181,-0.114
2075,0.27805704,-0.0172,-0.113
2076,0.27789646,-0.0182,-0.109
2077,0.27653116,-0.0151,-0.108
2078,0.2782532,-0.0153,-0.107
2079,0.27902457,-0.0206,-0.111
2080,0.27665234,-0.022,-0.118
2081,0.27788615,-0.013,-0.107
2082,0.277503,-0.0101,-0.104
2083,0.27782875,-0.0145,-0.106
2084,0.24772514,-0.0237,-0.156
2085,0.28793392,-0.0309,-0.102
2086,0.27281147,-0.00407,-0.119
2087,0.27530777,-0.0156,-0.109
2088,0.27855203,-0.017,-0.107
2089,0.2637522,-0.00909,-0.11
2090,0.26722193,-0.0127,-0.105
2091,0.2819055,-0.0192,-0.105
2092,0.28268442,-0.0201,-0.106
2093,0.2830556,-0.0217,-0.109
2094,0.27071512,-0.0131,-0.105
2095,0.2768521,-0.0155,-0.0995
2096,0.27198297,-0.0134,-0.112
2097,0.26356006,-0.00682,-0.118
2098,0.28906572,-0.0255,-0.1
2099,0.3222152,0.022357194,-0.18
2100,0.2743946,-0.0442,-0.0889
2101,0.27046248,-0.0173,-0.0849
2102,0.2774149,-0.0201,-0.103
2103,0.27641505,-0.0184,-0.108
2104,0.2771278,-0.0183,-0.112
2105,0.2775846,-0.0096,-0.0954
2106,0.27397236,-0.013,-0.0871
2107,0.2752602,-0.0242,-0.105
2108,0.2751835,-0.0108,-0.104
2109,0.27561978,-0.0074,-0.105
2110,0.2814528,-0.0179,-0.119
2111,0.30325234,-0.0252,-0.0913
2112,0.2381647,-0.00599,-0.118
2113,0.2637474,-0.0133,-0.126
2114,0.2833874,-0.0175,-0.112
2115,0.28308824,-0.0186,-0.112
2116,0.2818986,-0.0181,-0.116
2117,0.27436915,-0.0167,-0.11
2118,0.27790904,-0.0165,-0.11
2119,0.28089887,-0.0178,-0.116
2120,0.27130356,-0.0173,-0.103
2121,0.28114113,-0.0181,-0.0968
2122,0.283304,-0.0166,-0.111
2123,0.2734311,-0.0164,-0.115
2124,0.28371608,-0.0205,-0.0982
2125,0.28281364,-0.0176,-0.0986
2126,0.3455533,-0.0353,-0.113
2127,0.2739314,-0.0129,-0.0962
2128,0.2609797,-0.0148,-0.108
2129,0.2799596,-0.0183,-0.108
2130,0.27867135,-0.018,-0.113
2131,0.28008378,-0.0173,-0.115
2132,0.27657148,-0.0156,-0.11
2133,0.27771845,-0.0162,-0.111
2134,0.27592316,-0.0176,-0.108
2135,0.276556,-0.017,-0.11
2136,0.277601,-0.0171,-0.105
2137,0.2797016,-0.0173,-0.107
2138,0.19344778,-0.00706,-0.0638
2139,0.29227936,-0.00454,-0.0616
2140,0.318434,-0.014,-0.0772
2141,0.21975496,-0.0464,-0.131
2142,0.259025,-0.0355,-0.148
2143,0.3405434,0.0048028226,-0.11
2144,0.34820795,-0.0156,-0.115
2145,0.25233322,-0.00605,-0.116
2146,0.17400406,0.015086436,-0.0865
2147,0.30332395,-0.0127,-0.084
2148,0.3708232,-0.0254,-0.0908
2149,0.2539467,-0.0404,-0.0993
2150,0.22629584,-0.0465,-0.133
2151,0.2649733,-0.000532,-0.141
2152,0.27085307,-0.00104,-0.121
2153,0.25733873,-0.0336,-0.144
2154,0.20366345,-0.00419,-0.101
2155,0.34088418,-0.00758,-0.0594
2156,0.31934547,-0.0222,-0.114
2157,0.19864336,-0.0265,-0.104
2158,0.24586727,-0.00143,-0.12
2159,0.3332429,-0.00143,-0.146
2160,0.35691893,-0.0487,-0.124
2161,0.24565622,-0.0184,-0.103
2162,0.20657188,0.01688159,-0.0921
2163,0.32879612,-0.0165,-0.0862
2164,0.29534948,-0.0403,-0.089
2165,0.20812614,-0.0385,-0.112
2166,0.26551622,-0.00788,-0.131
2167,0.27088112,0.0055860863,-0.12
2168,0.24439798,-0.0452,-0.0875
2169,0.16831268,0.00530207,-0.116
2170,0.27027294,-0.0615,-0.137
2171,0.39526317,-0.0338,-0.115
2172,0.4145708,-0.0226,-0.147
2173,0.18406817,-0.0365,-0.155
2174,0.1759617,0.013359582,-0.0802
2175,0.32648048,-0.0158,-0.031
2176,0.34803563,0.0016826837,-0.0232
